#Char	Unicode	Big5
膘	8198	BDA8
膚	819A	BDA7
膛	819B	BDA3
膜	819C	BDA4
膝	819D	BDA5
膠	81A0	BDA6
膨	81A8	BFB1
膩	81A9	BFB0
膳	81B3	BFAF
膺	81BA	C174
膽	81BD	C178
膾	81BE	C17A
膿	81BF	C177
臀	81C0	C176
臂	81C2	C175
臃	81C3	C173
臆	81C6	C172
臉	81C9	C179
臍	81CD	C2C0
臏	81CF	C2C1
臘	81D8	C3BE
臚	81DA	C4A4
臟	81DF	C5A6
臢	81E2	C5D8
臣	81E3	A6DA
臥	81E5	AAD7
臧	81E7	BB4E
臨	81E8	C17B
自	81EA	A6DB
臬	81EC	AFE5
臭	81ED	AFE4
至	81F3	A6DC
致	81F4	AD50
臺	81FA	BB4F
臻	81FB	BFB2
臼	81FC	A6DD
臾	81FE	AAD8
舀	8200	AFE6
舂	8202	B2EA
舅	8205	B8A4
與	8207	BB50
興	8208	BFB3
舉	8209	C17C
舊	820A	C2C2
舌	820C	A6DE
舍	820D	AAD9
舐	8210	AFE7
舒	8212	B5CE
舔	8214	BB51
舛	821B	A6DF
舜	821C	B5CF
舞	821E	BB52
舟	821F	A6E0
舢	8222	AD51
舨	8228	AFEA
航	822A	AFE8
舫	822B	AFE9
般	822C	AFEB
舵	8235	B2EB
舶	8236	B2ED
舷	8237	B2EC
船	8239	B2EE
艇	8247	B8A5
艋	824B	BB53
艘	8258	BFB4
艙	8259	BFB5
艦	8266	C4A5
艮	826E	A6E1
良	826F	A87D
艱	8271	C17D
色	8272	A6E2
艷	8277	C641
艾	827E	A6E3
芋	828B	A8A1
芍	828D	A8A2
芒	8292	A87E
芙	8299	AADC
芝	829D	AADB
芟	829F	AADF
芣	82A3	AAE6
芥	82A5	AAE3
芬	82AC	AAE2
芭	82AD	AADD
芯	82AF	AAE4
芰	82B0	AAE7
花	82B1	AAE1
芳	82B3	AADA
芷	82B7	AAE9
芸	82B8	AAE5
芹	82B9	AAE0
芻	82BB	AFEC
芽	82BD	AADE
芾	82BE	AAE8
苑	82D1	AD62
苒	82D2	AD5C
苓	82D3	AD64
苔	82D4	AD61
苗	82D7	AD5D
苛	82DB	AD56
苜	82DC	AD60
苞	82DE	AD63
苟	82DF	AD65
苣	82E3	AD55
若	82E5	AD59
苦	82E6	AD57
苧	82E7	AD52
苯	82EF	AD66
英	82F1	AD5E
茁	8301	AD5F
茂	8302	AD5A
范	8303	AD53
茄	8304	AD58
茅	8305	AD54
茆	8306	AD67
茉	8309	AD5B
茗	8317	AFFA
茨	8328	AFFD
茫	832B	AFED
茱	8331	AFFC
茲	8332	AFF7
茴	8334	AFF5
茵	8335	AFF4
茶	8336	AFF9
茸	8338	AFF1
茹	8339	AFF8
荀	8340	AFFB
荃	8343	AFFE
草	8349	AFF3
荊	834A	AFF0
荏	834F	AFF6
荐	8350	AFF2
荒	8352	AFEE
荔	8354	AFEF
荷	8377	B2FC
荸	8378	B2F2
荻	837B	B2FD
荼	837C	B2FE
莆	8386	B340
莉	8389	B2FA
莊	838A	B2F8
莎	838E	B2EF
莒	8392	B2F7
莓	8393	B2F9
莖	8396	B2F4
莘	8398	B2F1
莞	839E	B2F0
莠	83A0	B2FB
莢	83A2	B2F3
莧	83A7	B341
莫	83AB	B2F6
莽	83BD	B2F5
菁	83C1	B5D7
菅	83C5	B5D5
菊	83CA	B5E2
菌	83CC	B5DF
菔	83D4	B5E8
菜	83DC	B5E6
菟	83DF	B5E9
菠	83E0	B5D4
菩	83E9	B5D0
華	83EF	B5D8
菰	83F0	B5DD
菱	83F1	B5D9
菲	83F2	B5E1
菴	83F4	B5DA
菸	83F8	B5D2
菽	83FD	B5E0
萃	8403	B5D1
萄	8404	B5E5
萇	8407	B5E7
萊	840A	B5DC
萋	840B	B5D6
萌	840C	B5DE
萍	840D	B5D3
萎	840E	B5E4
萬	842C	B855
萱	8431	B8A9
萵	8435	B8B1
萸	8438	B5E3
萼	843C	B8B0
落	843D	B8A8
葆	8446	B8B6
葉	8449	B8AD
著	8457	B5DB
葛	845B	B8AF
葡	8461	B8B2
董	8463	B8B3
葦	8466	B8AB
葩	8469	B8B4
葫	846B	B8AC
葬	846C	B8AE
葭	846D	B8B5
葵	8475	B8AA
葷	8477	B8A7
蒂	8482	B8A6
蒐	8490	BB60
蒙	8499	BB58
蒜	849C	BB5B
蒞	849E	BB59
蒲	84B2	BB5A
蒸	84B8	BB5D
蒼	84BC	BB61
蒿	84BF	BB55
蓀	84C0	BB5E
蓄	84C4	BB57
蓆	84C6	BB56
蓉	84C9	BB54
蓊	84CA	BB63
蓋	84CB	BB5C
蓑	84D1	BB62
蓓	84D3	BB5F
蓬	84EC	BDB4
蓮	84EE	BDAC
蓿	84FF	BDB6
蔆	8506	BDB7
蔑	8511	BDB0
蔓	8513	BDAF
蔔	8514	BDB3
蔗	8517	BDA9
蔚	851A	BDAB
蔡	8521	BDB2
蔣	8523	BDB1
蔥	8525	BDB5
蔬	852C	BDAD
蔭	852D	BDAE
蔽	853D	BDAA
蕃	8543	BFBB
蕈	8548	BFB8
蕉	8549	BFBC
蕊	854A	BFB6
蕙	8559	BFB7
蕞	855E	BFBF
蕨	8568	BFB9
蕩	8569	BFBA
蕪	856A	BFBE
蕭	856D	BFBD
蕾	857E	C1A2
薄	8584	C1A1
薇	8587	C1A8
薊	858A	C1AA
薑	8591	C1A4
薔	8594	C1A5
薛	859B	C1A7
薜	859C	C1A3
薦	85A6	C2CB
薨	85A8	C1A9
薩	85A9	C2C4
薪	85AA	C17E
薯	85AF	C1A6
薰	85B0	C2C8
薹	85B9	C2CA
薺	85BA	C2C9
藉	85C9	C2C7
藍	85CD	C2C5
藏	85CF	C2C3
藐	85D0	C2C6
藕	85D5	C3C2
藝	85DD	C3C0
藤	85E4	C3C3
藥	85E5	C3C4
藩	85E9	C3BF
藪	85EA	C3C1
藷	85F7	C3C5
藹	85F9	C4A7
藺	85FA	C4A9
藻	85FB	C4A6
蘆	8606	C4AA
蘇	8607	C4AC
蘊	860A	C4AD
蘋	860B	C4AB
蘑	8611	C4A8
蘗	8617	C4F4
蘚	861A	C4F6
蘭	862D	C4F5
蘸	8638	C5D9
蘿	863F	C5DA
虎	864E	AAEA
虐	8650	AD68
虔	8654	B040
處	8655	B342
虛	865B	B5EA
虜	865C	B8B8
虞	865E	B8B7
號	865F	B8B9
虧	8667	C1AB
虫	866B	A6E4
虱	8671	AAEB
虹	8679	AD69
虺	867A	AD6B
虻	867B	AD6A
蚊	868A	B041
蚌	868C	B046
蚓	8693	B043
蚜	869C	B048
蚣	86A3	B047
蚤	86A4	B044
蚩	86A9	B045
蚪	86AA	B042
蚯	86AF	B34C
蚱	86B1	B34B
蚵	86B5	B348
蚶	86B6	B346
蛀	86C0	B345
蛄	86C4	B347
蛆	86C6	B349
蛇	86C7	B344
蛉	86C9	B34D
蛋	86CB	B34A
蛐	86D0	B5F1
蛔	86D4	B5EE
蛙	86D9	B5EC
蛛	86DB	B5EF
蛞	86DE	B5F2
蛟	86DF	B5EB
蛤	86E4	B5F0
蛭	86ED	B5ED
蛹	86F9	B8BA
蛻	86FB	B8C0
蛾	86FE	B8BF
蜀	8700	B8BE
蜂	8702	B8C1
蜃	8703	B8C2
蜆	8706	B8C3
蜇	8707	B8BD
蜈	8708	B8BC
蜊	870A	B8C4
蜓	8713	B8BB
蜘	8718	BB6A
蜜	871C	BB65
蜢	8722	BB67
蜥	8725	BB68
蜩	8729	BB6D
蜴	8734	BB69
蜷	8737	BB6C
蜻	873B	BB66
蜿	873F	BB64
蝌	874C	BDC1
蝓	8753	BDC2
蝕	8755	BB6B
蝗	8757	BDC0
蝙	8759	BDBF
蝠	8760	BDBB
蝦	8766	BDBC
蝨	8768	BDBE
蝴	8774	BDB9
蝶	8776	BDBA
蝸	8778	BDBD
螂	8782	BDB8
螃	8783	BFC0
融	878D	BFC4
螞	879E	BFC2
螟	879F	BFC1
螢	87A2	BFC3
螫	87AB	C1B1
螳	87B3	C1AE
螺	87BA	C1B3
螻	87BB	C1B2
蟀	87C0	C1AC
蟆	87C6	C1B0
蟈	87C8	C1B4
蟋	87CB	C1B5
蟑	87D1	C1AD
蟒	87D2	C1AF
蟠	87E0	C2CF
蟬	87EC	C2CD
蟯	87EF	C2CC
蟲	87F2	C2CE
蟹	87F9	C3C9
蟻	87FB	C3C6
蟾	87FE	C3CA
蠅	8805	C3C7
蠍	880D	C3C8
蠔	8814	C4AE
蠕	8815	C4AF
蠟	881F	C4FA
蠡	8821	C4F9
蠢	8822	C4F8
蠣	8823	C4F7
蠱	8831	C5DB
蠶	8836	C5FA
蠹	8839	C5FB
蠻	883B	C65A
血	8840	A6E5
行	884C	A6E6
衍	884D	AD6C
術	8853	B34E
街	8857	B5F3
衙	8859	B8C5
衛	885B	BDC3
衝	885D	BDC4
衡	8861	BFC5
衢	8862	C5FC
衣	8863	A6E7
表	8868	AAED
衫	886B	AD6D
衰	8870	B049
衷	8877	B04A
衹	8879	B04E
衽	887D	B04D
袁	8881	B04B
袂	8882	B04C
袈	8888	B350
袋	888B	B355
袍	888D	B354
袒	8892	B352
袖	8896	B353
袞	889E	B34F
被	88AB	B351
袱	88B1	B5F6
裁	88C1	B5F4
裂	88C2	B5F5
裊	88CA	B8CD
裒	88D2	B8CF
裔	88D4	B8C7
裕	88D5	B8CE
裘	88D8	B8CA
裙	88D9	B8C8
補	88DC	B8C9
裝	88DD	B8CB
裟	88DF	B8C6
裡	88E1	B8CC
裨	88E8	BB74
裯	88EF	BB76
裳	88F3	BB6E
裴	88F4	BB70
裸	88F8	BB72
裹	88F9	BB71
製	88FD	BB73
褂	8902	BB6F
複	8907	BDC6
褊	890A	BDCA
褐	8910	BDC5
褒	8912	BDC7
褓	8913	BDC8
褕	8915	BDC9
褚	891A	BB75
褡	8921	BFCA
褥	8925	BFC8
褪	892A	BFC6
褫	892B	BFC9
褲	8932	BFC7
褶	8936	C1B7
褸	8938	C1B9
褻	893B	C1B6
褽	893D	C1BA
襄	8944	C1B8
襖	8956	C3CD
襞	895E	C3CE
襟	895F	C3CC
襠	8960	C3CB
襤	8964	C4B0
襪	896A	C4FB
襬	896C	C4FC
襯	896F	C5A8
襲	8972	C5A7
西	897F	A6E8
要	8981	AD6E
覃	8983	B5F7
覆	8986	C2D0
見	898B	A8A3
規	898F	B357
覓	8993	B356
視	8996	B5F8
覜	899C	B8D0
覦	89A6	BFCC
親	89AA	BFCB
覬	89AC	C1BB
覲	89B2	C2D1
覺	89BA	C4B1
覽	89BD	C4FD
觀	89C0	C65B
角	89D2	A8A4
觔	89D4	AD6F
解	89E3	B8D1
觴	89F4	C2D2
觸	89F8	C4B2
觼	89FC	C5A9
言	8A00	A8A5
訂	8A02	AD71
訃	8A03	AD72
計	8A08	AD70
訊	8A0A	B054
訌	8A0C	B052
討	8A0E	B051
訏	8A0F	B058
訐	8A10	B050
訑	8A11	B059
訓	8A13	B056
訕	8A15	B053
訖	8A16	B057
託	8A17	B055
記	8A18	B04F
訛	8A1B	B35F
訝	8A1D	B359
訟	8A1F	B35E
訢	8A22	B360
訣	8A23	B35A
訥	8A25	B35B
訪	8A2A	B358
設	8A2D	B35D
許	8A31	B35C
訴	8A34	B644
訶	8A36	B646
診	8A3A	B645
註	8A3B	B5F9
証	8A3C	B5FD
訾	8A3E	B8E4
詁	8A41	B5FE
詆	8A46	B643
詐	8A50	B642
詔	8A54	B640
評	8A55	B5FB
詖	8A56	B647
詛	8A5B	B641
詞	8A5E	B5FC
詠	8A60	B5FA
詢	8A62	B8DF
詣	8A63	B8DA
試	8A66	B8D5
詨	8A68	B8E5
詩	8A69	B8D6
詫	8A6B	B8D2
詬	8A6C	B8E1
詭	8A6D	B8DE
詮	8A6E	B8E0
詰	8A70	B8D7
話	8A71	B8DC
該	8A72	B8D3
詳	8A73	B8D4
詹	8A79	B8E2
詻	8A7B	B8E3
詼	8A7C	B8D9
誅	8A85	B8DD
誇	8A87	B8D8
誌	8A8C	BB78
認	8A8D	BB7B
誑	8A91	BBA5
誓	8A93	BB7D
誕	8A95	BDCF
誘	8A98	BBA4
誚	8A9A	BBA6
語	8A9E	BB79
誠	8AA0	B8DB
誡	8AA1	BB7C
誣	8AA3	BB7A
誤	8AA4	BB7E
誥	8AA5	BBA2
誦	8AA6	BB77
誧	8AA7	BBA7
誨	8AA8	BBA3
說	8AAA	BBA1
誰	8AB0	BDD6
課	8AB2	BDD2
誶	8AB6	BDD9
誹	8AB9	BDDA
誼	8ABC	BDCB
調	8ABF	BDD5
諂	8AC2	BDD4
諄	8AC4	BDCE
談	8AC7	BDCD
諉	8AC9	BDD3
請	8ACB	BDD0
諍	8ACD	BDD8
諒	8AD2	BDCC
論	8AD6	BDD7
諛	8ADB	BDDB
諜	8ADC	BFD2
諦	8AE6	BFCD
諧	8AE7	BFD3
諫	8AEB	BFCF
諭	8AED	BFD9
諮	8AEE	BFD4
諱	8AF1	BFD0
諳	8AF3	BFDA
諶	8AF6	BFDB
諷	8AF7	BFD8
諸	8AF8	BDD1
諺	8AFA	BFCE
諼	8AFC	BFDC
諾	8AFE	BFD5
謀	8B00	BFD1
謁	8B01	BFD6
謂	8B02	BFD7
謄	8B04	C1C3
謊	8B0A	C1C0
謎	8B0E	C1BC
謐	8B10	C1C4
謗	8B17	C1BD
謙	8B19	C1BE
講	8B1B	C1BF
謝	8B1D	C1C2
謠	8B20	C1C1
謨	8B28	C2D3
謫	8B2B	C2D6
謬	8B2C	C2D5
謹	8B39	C2D4
譁	8B41	C3CF
譆	8B46	C3D6
證	8B49	C3D2
譎	8B4E	C3D4
譏	8B4F	C3D5
識	8B58	C3D1
譙	8B59	C3D7
譚	8B5A	C3D3
譜	8B5C	C3D0
譟	8B5F	C4B7
警	8B66	C4B5
譫	8B6B	C4B8
譬	8B6C	C4B4
譯	8B6F	C4B6
議	8B70	C4B3
譴	8B74	C4FE
護	8B77	C540
譽	8B7D	C541
讀	8B80	C5AA
變	8B8A	C5DC
讒	8B92	C5FE
讓	8B93	C5FD
讖	8B96	C640
讚	8B9A	C667
讜	8B9C	C66D
谷	8C37	A8A6
谿	8C3F	C1C6
豁	8C41	C1C5
豆	8C46	A8A7
豈	8C48	B05A
豉	8C49	B361
豌	8C4C	BDDC
豎	8C4E	BDDD
豐	8C50	C2D7
豔	8C54	C676
豕	8C55	A8A8
豚	8C5A	B362
象	8C61	B648
豢	8C62	B8E6
豪	8C6A	BBA8
豫	8C6B	BFDD
豬	8C6C	BDDE
豭	8C6D	BFDE
豳	8C73	C1C7
豹	8C79	B05C
豺	8C7A	B05B
貂	8C82	B649
貉	8C89	B8E8
貊	8C8A	B8E7
貌	8C8C	BBAA
貍	8C8D	BBA9
貓	8C93	BFDF
貝	8C9D	A8A9
貞	8C9E	AD73
負	8CA0	AD74
財	8CA1	B05D
貢	8CA2	B05E
貧	8CA7	B368
貨	8CA8	B366
販	8CA9	B363
貪	8CAA	B367
貫	8CAB	B365
責	8CAC	B364
貯	8CAF	B64A
貲	8CB2	B8ED
貳	8CB3	B64C
貴	8CB4	B651
貶	8CB6	B653
買	8CB7	B652
貸	8CB8	B655
費	8CBB	B64F
貼	8CBC	B64B
貽	8CBD	B64D
貿	8CBF	B654
賀	8CC0	B650
賁	8CC1	B64E
賂	8CC2	B8EF
賃	8CC3	B8EE
賄	8CC4	B8EC
賅	8CC5	B8F0
資	8CC7	B8EA
賈	8CC8	B8EB
賊	8CCA	B8E9
賑	8CD1	BBAC
賒	8CD2	BBAD
賓	8CD3	BBAB
賜	8CDC	BDE7
賞	8CDE	BDE0
賠	8CE0	BDDF
賡	8CE1	BDE9
賢	8CE2	BDE5
賣	8CE3	BDE6
賤	8CE4	BDE2
賦	8CE6	BDE1
質	8CEA	BDE8
賬	8CEC	BDE3
賭	8CED	BDE4
賴	8CF4	BFE0
賸	8CF8	C1CB
賺	8CFA	C1C8
賻	8CFB	C1CC
購	8CFC	C1CA
賽	8CFD	C1C9
贅	8D05	C2D8
贈	8D08	C3D8
贊	8D0A	C3D9
贍	8D0D	C4BA
贏	8D0F	C4B9
贓	8D13	C542
贖	8D16	C5AB
贗	8D17	C5AC
贛	8D1B	C642
赤	8D64	A8AA
赦	8D66	B36A
赧	8D67	B369
赫	8D6B	BBAE
赭	8D6D	BDEA
走	8D70	A8AB
赳	8D73	AD76
赴	8D74	AD75
起	8D77	B05F
趁	8D81	B658
超	8D85	B657
越	8D8A	B656
趕	8D95	BBB0
趙	8D99	BBAF
趟	8D9F	BDEB
趣	8DA3	BDEC
趨	8DA8	C1CD
足	8DB3	A8AC
趴	8DB4	AD77
趺	8DBA	B36C
趾	8DBE	B36B
跆	8DC6	B660
跋	8DCB	B65B
跌	8DCC	B65E
跎	8DCE	B659
跑	8DD1	B65D
跚	8DDA	B65C
跛	8DDB	B65F
距	8DDD	B65A
跟	8DDF	B8F2
跡	8DE1	B8F1
跤	8DE4	B8F8
跦	8DE6	B8F9
跨	8DE8	B8F3
跪	8DEA	B8F7
路	8DEF	B8F4
跳	8DF3	B8F5
跺	8DFA	B8F6
跼	8DFC	BBB1
踏	8E0F	BDF1
踐	8E10	BDEE
踝	8E1D	BDEF
踞	8E1E	BDF5
踟	8E1F	BDF3
踡	8E21	BDF4
踢	8E22	BDF0
踩	8E29	BDF2
踫	8E2B	BDED
踱	8E31	BFE2
踴	8E34	BFE3
踵	8E35	BFE6
踹	8E39	BFE5
蹂	8E42	BFE4
蹄	8E44	BFE1
蹈	8E48	C1D0
蹉	8E49	C1CE
蹊	8E4A	C1D1
蹋	8E4B	C1CF
蹕	8E55	C2DE
蹙	8E59	C2D9
蹟	8E5F	C2DD
蹣	8E63	C2DA
蹤	8E64	C2DC
蹦	8E66	C2DB
蹬	8E6C	C3DE
蹲	8E72	C3DB
蹴	8E74	C3E0
蹶	8E76	C3DD
蹺	8E7A	C3DF
蹼	8E7C	C3DA
躁	8E81	C4BC
躂	8E82	C4BE
躅	8E85	C4BD
躇	8E87	C3DC
躉	8E89	C4BB
躊	8E8A	C543
躋	8E8B	C545
躍	8E8D	C544
躑	8E91	C5AD
躓	8E93	C5AE
躡	8EA1	C65C
躪	8EAA	C66E
身	8EAB	A8AD
躬	8EAC	B060
躲	8EB2	B8FA
躺	8EBA	BDF6
軀	8EC0	C2DF
車	8ECA	A8AE
軋	8ECB	AAEE
軌	8ECC	AD79
軍	8ECD	AD78
軏	8ECF	B063
軒	8ED2	B061
軔	8ED4	B062
軛	8EDB	B36D
軟	8EDF	B36E
軸	8EF8	B662
軻	8EFB	B661
軼	8EFC	B663
軾	8EFE	B8FD
較	8F03	B8FB
載	8F09	B8FC
輊	8F0A	B8FE
輒	8F12	BBB3
輓	8F13	BBB5
輔	8F14	BBB2
輕	8F15	BBB4
輛	8F1B	BDF8
輜	8F1C	BDFD
輝	8F1D	BDF7
輞	8F1E	BDFE
輟	8F1F	BDF9
輥	8F25	BE40
輦	8F26	BDFB
輩	8F29	BDFA
輪	8F2A	BDFC
輯	8F2F	BFE8
輳	8F33	BFEA
輸	8F38	BFE9
輻	8F3B	BFE7
輾	8F3E	C1D3
輿	8F3F	C1D6
轂	8F42	C1D4
轄	8F44	C1D2
轅	8F45	C1D5
轉	8F49	C2E0
轍	8F4D	C2E1
轎	8F4E	C3E2
轔	8F54	C3E1
轟	8F5F	C546
轡	8F61	C5AF
辛	8F9B	A8AF
辜	8F9C	B664
辟	8F9F	B940
辣	8FA3	BBB6
辦	8FA6	BFEC
辨	8FA8	BFEB
辭	8FAD	C3E3
辮	8FAE	C47C
辯	8FAF	C547
辰	8FB0	A8B0
辱	8FB1	B064
農	8FB2	B941
迂	8FC2	A8B1
迄	8FC4	A8B4
迅	8FC5	A8B3
迆	8FC6	A8B2
迎	8FCE	AAEF
近	8FD1	AAF1
返	8FD4	AAF0
迢	8FE2	AD7C
迤	8FE4	ADA3
迥	8FE5	AD7E
迦	8FE6	AD7B
迨	8FE8	ADA4
迪	8FEA	AD7D
迫	8FEB	ADA2
迭	8FED	ADA1
述	8FF0	AD7A
迴	8FF4	B06A
迷	8FF7	B067
迸	8FF8	B06E
迺	8FFA	B069
追	8FFD	B06C
退	9000	B068
送	9001	B065
逃	9003	B06B
逅	9005	B06D
逆	9006	B066
逍	900D	B370
透	900F	B37A
逐	9010	B376
途	9014	B37E
逕	9015	B377
逖	9016	B37C
逗	9017	B372
這	9019	B36F
通	901A	B371
逛	901B	B37D
逝	901D	B375
逞	901E	B378
速	901F	B374
造	9020	B379
逢	9022	B37B
連	9023	B373
逮	902E	B665
週	9031	B667
進	9032	B669
逵	9035	B666
逶	9036	B66A
逸	9038	B668
逼	903C	B947
逾	903E	B94F
遁	9041	B950
遂	9042	B945
遇	9047	B94A
遊	904A	B943
運	904B	B942
遍	904D	B94D
過	904E	B94C
遏	904F	B94B
遐	9050	B949
遑	9051	B94E
道	9053	B944
達	9054	B946
違	9055	B948
遘	9058	BBB8
遙	9059	BBBB
遛	905B	BBBF
遜	905C	BBB9
遝	905D	BBBE
遞	905E	BBBC
遠	9060	BBB7
遢	9062	BBBD
遣	9063	BBBA
遨	9068	BE43
適	9069	BE41
遭	906D	BE44
遮	906E	BE42
遲	9072	BFF0
遴	9074	BFEE
遵	9075	BFED
遷	9077	BE45
選	9078	BFEF
遺	907A	BFF2
遼	907C	BFF1
遽	907D	C1D8
避	907F	C1D7
邀	9080	C1DC
邁	9081	C1DA
邂	9082	C1DB
邃	9083	C2E3
還	9084	C1D9
邇	9087	C2E2
邈	9088	C2E4
邊	908A	C3E4
邋	908B	C3E5
邏	908F	C5DE
邐	9090	C5DD
邑	9091	A8B6
邕	9095	B06F
邢	90A2	A8B7
那	90A3	A8BA
邦	90A6	A8B9
邪	90AA	A8B8
邱	90B1	AAF4
邵	90B5	AAF2
邶	90B6	AAF5
邸	90B8	AAF3
郁	90C1	ADA7
郃	90C3	ADA8
郊	90CA	ADA5
郎	90CE	ADA6
郝	90DD	B071
郡	90E1	B070
郢	90E2	B072
部	90E8	B3A1
郭	90ED	B3A2
郵	90F5	B66C
都	90FD	B3A3
郾	90FE	B66E
鄂	9102	B66B
鄉	9109	B66D
鄒	9112	B951
鄗	9117	B952
鄘	9118	BBC1
鄙	9119	BBC0
鄞	911E	BBC2
鄧	9127	BE48
鄭	912D	BE47
鄰	9130	BE46
鄱	9131	BE49
鄴	9134	BFF3
鄹	9139	C1DD
酈	9148	C5B0
酉	9149	A8BB
酊	914A	ADAA
酋	914B	ADA9
酌	914C	B075
配	914D	B074
酒	9152	B073
酗	9157	B3A4
酣	9163	B66F
酥	9165	B670
酩	9169	B955
酪	916A	B954
酬	916C	B953
酴	9174	BBC6
酵	9175	BBC3
酷	9177	BBC5
酸	9178	BBC4
醃	9183	BE4D
醇	9187	BE4A
醉	9189	BE4B
醋	918B	BE4C
醒	9192	BFF4
醜	919C	C1E0
醞	919E	C1DF
醣	91A3	C1DE
醫	91AB	C2E5
醬	91AC	C2E6
醮	91AE	C3E7
醱	91B1	C3E6
醴	91B4	C4BF
醺	91BA	C548
釀	91C0	C643
釁	91C1	C65D
釅	91C5	C66F
釆	91C6	A8BC
采	91C7	AAF6
釉	91C9	B956
釋	91CB	C4C0
里	91CC	A8BD
重	91CD	ADAB
野	91CE	B3A5
量	91CF	B671
釐	91D0	C2E7
金	91D1	AAF7
釗	91D7	B078
釘	91D8	B076
釙	91D9	B07A
釜	91DC	B079
針	91DD	B077
釣	91E3	B3A8
釦	91E6	B3A7
釧	91E7	B3A9
釩	91E9	B3AB
釭	91ED	B3AA
釵	91F5	B3A6
鈇	9207	B679
鈉	9209	B675
鈍	920D	B677
鈐	9210	B678
鈑	9211	B67A
鈔	9214	B672
鈕	9215	B673
鈞	921E	B676
鈣	9223	B674
鈴	9234	B961
鈷	9237	B957
鈸	9238	B959
鈹	9239	B965
鈽	923D	B95A
鈾	923E	B95C
鈿	923F	B966
鉀	9240	B95B
鉅	9245	B964
鉉	9249	B962
鉋	924B	B95E
鉍	924D	B963
鉑	9251	B960
鉗	9257	B958
鉚	925A	B967
鉛	925B	B95D
鉤	9264	B95F
鉸	9278	BBC7
鉻	927B	BBCC
鉼	927C	BBD0
銀	9280	BBC8
銅	9285	BBC9
銑	9291	BBD1
銓	9293	BBCD
銖	9296	BBCB
銘	9298	BBCA
銜	929C	BBCE
銨	92A8	BBCF
銬	92AC	BE52
銲	92B2	BE5A
銳	92B3	BE55
銷	92B7	BE50
銻	92BB	BE4F
銼	92BC	BE56
鋁	92C1	BE54
鋅	92C5	BE4E
鋇	92C7	BE58
鋒	92D2	BE57
鋤	92E4	BE53
鋪	92EA	BE51
鋰	92F0	BE59
鋸	92F8	BFF7
鋼	92FC	BFFB
錄	9304	BFFD
錐	9310	C040
錕	9315	C043
錘	9318	C1E8
錙	9319	C045
錚	931A	BFFE
錠	9320	BFF5
錡	9321	C042
錢	9322	BFFA
錦	9326	C041
錨	9328	C1E3
錫	932B	BFFC
錮	932E	C044
錯	932F	BFF9
錳	9333	BFF8
錶	9336	BFF6
鍊	934A	C1E5
鍋	934B	C1E7
鍍	934D	C1E1
鍔	9354	C1EE
鍚	935A	C1ED
鍛	935B	C1EB
鍥	9365	C1E6
鍬	936C	C1EA
鍰	9370	C1EC
鍵	9375	C1E4
鍾	937E	C1E9
鎂	9382	C1E2
鎊	938A	C2E9
鎔	9394	C2E8
鎖	9396	C2EA
鎗	9397	C2F2
鎘	9398	C2F0
鎚	939A	C2F1
鎢	93A2	C2EB
鎬	93AC	C2EE
鎮	93AE	C2ED
鎰	93B0	C2EF
鎳	93B3	C2EC
鏃	93C3	C3EB
鏈	93C8	C3EC
鏍	93CD	C3F1
鏑	93D1	C3E9
鏖	93D6	C3EF
鏗	93D7	C3F4
鏘	93D8	C3F2
鏜	93DC	C3ED
鏝	93DD	C3EE
鏟	93DF	C3EA
鏡	93E1	C3E8
鏢	93E2	C3F0
鏤	93E4	C3F3
鏨	93E8	C3F5
鏽	93FD	C4C3
鐃	9403	C4C2
鐘	9418	C4C1
鐫	942B	C54F
鐮	942E	C549
鐲	9432	C54E
鐳	9433	C54A
鐵	9435	C54B
鐸	9438	C54D
鐺	943A	C54C
鑄	9444	C5B1
鑑	9451	C5B2
鑒	9452	C5B3
鑠	9460	C5E0
鑣	9463	C5DF
鑤	9464	C5E1
鑪	946A	C644
鑰	9470	C65F
鑲	9472	C65E
鑷	9477	C668
鑼	947C	C672
鑽	947D	C670
鑾	947E	C671
鑿	947F	C677
長	9577	AAF8
門	9580	AAF9
閂	9582	ADAC
閃	9583	B07B
閉	9589	B3AC
開	958B	B67D
閎	958E	B6A3
閏	958F	B67C
閑	9591	B67E
閒	9592	B6A2
間	9593	B6A1
閔	9594	B67B
閘	9598	B968
閡	95A1	BBD2
閣	95A3	BBD5
閤	95A4	BBD7
閥	95A5	BBD6
閨	95A8	BBD3
閩	95A9	BBD4
閭	95AD	BE5B
閱	95B1	BE5C
閻	95BB	C046
闆	95C6	C1F3
闈	95C8	C1F2
闊	95CA	C1EF
闋	95CB	C1F0
闌	95CC	C1F1
闐	95D0	C2F5
闔	95D4	C2F3
闕	95D5	C2F6
闖	95D6	C2F4
關	95DC	C3F6
闡	95E1	C4C4
闢	95E2	C550
阜	961C	AAFA
阡	9621	A6E9
阪	962A	A8C1
阬	962C	A8C2
阮	962E	A8BF
阱	9631	A8C0
防	9632	A8BE
阻	963B	AAFD
阿	963F	AAFC
陀	9640	AAFB
陂	9642	AB40
附	9644	AAFE
陋	964B	ADAE
陌	964C	ADAF
降	964D	ADB0
限	9650	ADAD
陘	9658	B0A4
陛	965B	B0A1
陝	965D	B0A2
陞	965E	B0A5
陡	9661	B07E
院	9662	B07C
陣	9663	B07D
除	9664	B0A3
